step,pop,avg_rep,avg_death,avg_mut
522,476548,0.0400282,0.0198717,0.040001
523,476447,0.0400286,0.0198719,0.0400009
524,476365,0.0400286,0.019872,0.0400007
525,476427,0.0400288,0.0198724,0.0400007
526,476487,0.0400287,0.0198722,0.0400006
527,476566,0.0400291,0.019872,0.0400009
528,476500,0.0400294,0.0198722,0.0400009
529,476616,0.0400298,0.019872,0.0400011
530,476517,0.0400298,0.0198722,0.0400014
531,476585,0.0400296,0.0198724,0.0400005
532,476598,0.0400303,0.0198719,0.0400008
533,476815,0.0400295,0.0198723,0.0400007
534,476496,0.0400298,0.0198717,0.0400004
535,476721,0.0400298,0.0198715,0.0400004
536,476712,0.0400297,0.0198718,0.0400004
537,476621,0.04003,0.0198719,0.0400007
538,476552,0.0400299,0.0198716,0.0400006
539,476507,0.04003,0.0198715,0.04
540,476461,0.0400296,0.0198715,0.0400002
541,476498,0.0400295,0.0198715,0.0400001
542,476540,0.0400293,0.0198714,0.0399999
543,476559,0.0400297,0.019871,0.0400003
544,476646,0.04003,0.0198707,0.0400001
545,476935,0.04003,0.0198704,0.0400004
546,476861,0.0400302,0.0198704,0.0400004
547,476700,0.0400304,0.01987,0.0400006
548,476722,0.0400304,0.0198699,0.0400006
549,476495,0.0400308,0.0198693,0.0400007
550,476430,0.0400307,0.0198694,0.0400007
551,476254,0.0400309,0.0198694,0.040001
552,476169,0.0400307,0.0198697,0.040001
553,476234,0.040031,0.019869,0.0400014
554,476238,0.0400306,0.0198684,0.040001
555,476225,0.0400304,0.0198679,0.0400009
556,476216,0.040031,0.0198682,0.0400015
557,476300,0.0400305,0.0198681,0.0400019
558,476306,0.040031,0.0198675,0.0400021
559,476140,0.0400309,0.0198675,0.0400024
560,476035,0.0400312,0.0198672,0.0400025
561,475947,0.0400312,0.0198676,0.0400014
562,476061,0.0400308,0.0198674,0.0400013
563,475981,0.0400309,0.0198677,0.0400015
564,476106,0.0400314,0.0198677,0.0400017
565,476220,0.0400311,0.019868,0.0400013
566,476258,0.0400316,0.0198673,0.0400013
567,476271,0.0400316,0.019867,0.0400015
568,476498,0.0400315,0.0198672,0.0400016
569,476632,0.0400323,0.0198672,0.0400014
570,476590,0.0400324,0.0198676,0.0400012
571,476124,0.040033,0.0198672,0.0400013
572,476116,0.0400333,0.0198667,0.0400015
573,476022,0.0400331,0.0198667,0.0400014
574,475973,0.0400331,0.0198666,0.0400013
575,475968,0.0400326,0.0198667,0.0400012
